Average Cost for two,Votes,Country Code,City,Currency,Has Table booking,Has Online delivery,Is delivering now,Price range,Cuisine_Count,Cuisine_avg_rating,Aggregate rating
-0.45616691602669956,-1.1212191210878772,3.351163685324101,3.2977329192546585,3.351163685324101,0,0,0,1,1,2.509796557120501,0.0
-0.27929485481125355,-1.1212191210878772,3.351163685324101,3.2977329192546585,3.351163685324101,0,0,0,1,1,2.509796557120501,0.0
1.462566263797931,0.16927886033918949,3.351163685324101,3.3314049586776857,3.351163685324101,0,0,0,3,1,3.27752808988764,2.4
1.0680522955595768,-0.3173134202495626,3.351163685324101,3.2977329192546585,3.351163685324101,1,0,0,3,1,2.509796557120501,2.9
-1.3425191254672713,-1.1212191210878772,3.351163685324101,3.2977329192546585,3.351163685324101,0,0,0,1,1,2.509796557120501,0.0
1.9597193141844145,0.41101426614650777,3.351163685324101,3.805263157894737,3.351163685324101,0,0,0,4,2,2.5670112111649863,3.9
1.3479534746578694,0.6338360421265178,3.351163685324101,3.975,3.351163685324101,0,0,0,4,3,3.4531448386869283,4.9
-0.6724630660295038,-0.8969752968703018,3.351163685324101,3.2977329192546585,3.351163685324101,0,0,0,1,1,2.0629999999999997,0.0
0.21677971001738924,-0.8969752968703018,3.351163685324101,3.154280510018215,3.351163685324101,0,0,0,2,1,2.3635036496350366,0.0
0.8906956281906943,0.49326293863174764,3.351163685324101,4.1000000000000005,3.351163685324101,1,0,0,3,8,3.0254529360172593,3.8
0.3094025129767618,0.4329559241347616,3.351163685324101,3.9,3.351163685324101,0,0,0,2,2,2.7310845730739413,4.1
-0.45616691602669956,0.522693714681714,3.351163685324101,3.2977329192546585,3.351163685324101,0,0,0,1,2,2.500380225884016,3.8
0.0,-1.1212191210878772,3.351163685324101,3.2977329192546585,3.351163685324101,0,0,0,1,1,2.6224334600760457,0.0
-0.12966706806937722,-1.1212191210878772,3.351163685324101,3.2977329192546585,3.351163685324101,0,0,0,1,3,2.5411253448324245,0.0
-0.12966706806937722,0.2668108092312448,3.351163685324101,3.2977329192546585,3.351163685324101,0,1,0,1,3,2.487826351201299,3.1
0.21677971001738924,-0.03184688476416767,3.351163685324101,3.154280510018215,3.351163685324101,0,0,0,2,1,2.557296954314721,3.5
0.0,0.4138397465792549,3.351163685324101,3.068421052631579,3.351163685324101,0,0,0,1,2,2.533546755717611,3.3
-2.6637960265627294,0.9207246258494782,4.0225225225225225,4.225,3.9714666666666667,0,0,0,2,1,2.942763157894737,4.1
-0.27929485481125355,-0.245123033128942,3.351163685324101,3.2977329192546585,3.351163685324101,0,0,0,1,1,2.4893536121673003,3.0
0.11441054097061731,-1.1212191210878772,3.351163685324101,3.3314049586776857,3.351163685324101,0,0,0,1,3,2.5786709791509392,0.0
0.3939745464007345,0.0,3.351163685324101,3.3314049586776857,3.351163685324101,0,0,0,2,3,2.7357914149374962,3.2
0.3939745464007345,0.6689178868059079,3.351163685324101,4.046153846153846,3.351163685324101,0,1,0,2,2,3.1241657185366707,4.2
-0.27929485481125355,-1.1212191210878772,3.351163685324101,3.154280510018215,3.351163685324101,0,0,0,1,1,2.509796557120501,0.0
-0.27929485481125355,-0.7658010686847135,3.351163685324101,3.2977329192546585,3.351163685324101,0,0,0,1,2,2.556789738688386,0.0
2.150610304598906,-0.16864761047423155,3.351163685324101,3.2977329192546585,3.351163685324101,1,0,0,4,1,3.27752808988764,3.5
0.3939745464007345,-0.8969752968703018,3.351163685324101,3.3314049586776857,3.351163685324101,0,0,0,2,2,2.5670112111649863,0.0
